approach,doc_id,condition,entity_text,entity_label,context_snippet,is_correct
general,130,cardiovascular diseases,creatine kinase,PERSON,Prognostic importance of delayed Q-wave evolution 3 to 24 hours after initiation of thrombolytic therapy for acute myocardial infarction. The timing of Q-wave evolution and its prognostic significance was studied in 201 patients who received thrombol...,0
general,1555,neoplasms,6 month,DATE,Human liver regeneration after major hepatectomy. A study of liver volume by computed tomography. Regeneration of the remnant liver after major hepatectomy in humans was studied by computed axial tomography (CT) in 12 noncirrhotic and five cirrhotic ...,1
general,1566,neoplasms,four,CARDINAL,"Lack of late skin necrosis in man after high-dose irradiation using small field sizes: experiences of grid therapy. Out of a total of 437 patients with superior vena caval syndrome or advanced malignancy, given single-dose grid radiotherapy, four sur...",1
general,1798,nervous system diseases,two,CARDINAL,Cemented total knee arthroplasty for gonarthrosis in patients 55 years old or younger. The results of 68 cemented total knee arthroplasties (TKAs) in 50 patients with gonarthrosis who were 55 years old or younger at the time of surgery were reviewed....,1
general,949,general pathological conditions,1.50%,PERCENT,"Effective doses of epidural morphine for relief of postcholecystectomy pain. Having previously established the effective dose of intrathecal morphine for relief of postcholecystectomy pain, we determined in this study the effective dose of epidural m...",1
general,429,digestive system diseases,fev1,GPE,Airway responsiveness to inhaled methacholine in patients with irritable bowel syndrome. We examined whether patients with irritable bowel syndrome have increased airway responsiveness by measuring forced expiratory volumes in 1 second (FEV1) after i...,0
general,939,general pathological conditions,fed,ORG,Adrenal hormones and the anorectic response and adaptation of rats to amino acid imbalance. The role of adrenal function in the anorectic response and adaptation of rats to a diet with an isoleucine (Ile) imbalance was investigated. In the first of f...,1
general,835,general pathological conditions,four,CARDINAL,Hydromyelic hydrocephalus. Correlation of hydromyelia with various stages of hydrocephalus in postshunt isolated compartments. The clinical features and pathophysiology of specific forms of hydromyelia are analyzed in this report together with the ch...,1
general,27,cardiovascular diseases,24%,PERCENT,"Cardiac rhythm disturbances early after orthotopic heart transplantation: prevalence and clinical importance of the observed abnormalities. To precisely define the incidence, type and consequences of cardiac arrhythmias early after heart transplantat...",1
general,312,cardiovascular diseases,diet,ORG,Influence of dietary cod liver oil on fatty acid composition of plasma lipids in human male subjects after myocardial infarction. A randomized crossover study was carried out to investigate the fatty acid profile and concentrations of plasma lipids i...,0
general,342,cardiovascular diseases,4 degree,QUANTITY,Efficacy of recombinant-derived human superoxide dismutase on porcine left ventricular contractility after normothermic global myocardial ischemia and hypothermic cardioplegic arrest. A porcine model of normothermic global ischemia (40 minutes) follo...,1
general,1721,neoplasms,less than 50%,PERCENT,"Photodynamic therapy of spontaneous cancers in felines, canines, and snakes with chloro-aluminum sulfonated phthalocyanine. This is the first report on the photodynamic treatment with a second-generation sensitizer, chloro-aluminum sulfonated phthalo...",1
general,1671,neoplasms,sixteen,DATE,Postoperative active specific immunization in colorectal cancer patients with virus-modified autologous tumor-cell vaccine. First clinical results with tumor-cell vaccines modified with live but avirulent Newcastle disease virus [published erratum ap...,0
general,593,digestive system diseases,8-week,DATE,Omeprazole in the management of intractable esophageal ulceration following injection sclerotherapy. Transient esophageal ulceration is a common finding after sclerotherapy of varices. A small proportion of these ulcers become chronic and resistant t...,1
general,1803,nervous system diseases,neuroophthalmologic,ORG,"Neuroophthalmologic effects of intravenous magnesium sulfate. To test the hypothesis that visual disturbances are more common during intravenous magnesium sulfate administration than at 1 to 4 days after discontinuation of the drug, 13 women underwen...",0
general,776,general pathological conditions,10-year,DATE,Local infectious complications following large joint replacement in rheumatoid arthritis patients treated with methotrexate versus those not treated with methotrexate. We performed a 10-year retrospective analysis of the frequency of local postoperat...,1
general,1805,nervous system diseases,gpi,ORG,"Glucosephosphate isomerase as a CSF marker for leptomeningeal metastasis. Glucosephosphate isomerase (GPI), also known as phosphohexoisomerase, is a glycolytic enzyme whose activity is elevated in serum and CSF of patients with primary and metastatic...",1
general,1531,neoplasms,hashimoto,ORG,Epitope mapping of human thyroglobulin. Heterogeneous recognition by thyroid pathologic sera. Thyroglobulin is the major Ag of the thyroid gland involved in autoimmune pathologies. Epitope mapping was carried out with a rabbit polyclonal immune serum...,1
general,462,digestive system diseases,0.6,CARDINAL,"Multipolar electrocoagulation versus injection therapy in the treatment of bleeding peptic ulcers. A prospective, randomized trial. This study prospectively compares multipolar electrocoagulation and injection therapy in high-risk patients with bleed...",1
general,849,general pathological conditions,149,CARDINAL,"Prognostic indices for tumor relapse and tumor mortality in follicular thyroid carcinoma. To establish an objective basis for therapeutic decisions and follow-up programs in patients with follicular thyroid cancer, the authors developed a prognostic ...",1
general,1531,neoplasms,seven,CARDINAL,Epitope mapping of human thyroglobulin. Heterogeneous recognition by thyroid pathologic sera. Thyroglobulin is the major Ag of the thyroid gland involved in autoimmune pathologies. Epitope mapping was carried out with a rabbit polyclonal immune serum...,1
general,975,general pathological conditions,0.35,CARDINAL,Median nerve somatosensory evoked potentials and the Glasgow Coma Scale as predictors of outcome in comatose patients with head injuries. Median nerve somatosensory evoked potential (SSEP) grades and Glasgow Coma Scale (GSC) scores were obtained from...,1
general,44,cardiovascular diseases,six,CARDINAL,"Translumbar arch aortography: a retrospective controlled study of usefulness, technique, and safety. Subclavian and axillary artery stenoses may lead to axillofemoral bypass graft failure. These arteries were assessed preoperatively with arch aortogr...",1
general,28,cardiovascular diseases,monthly,DATE,Primary orchiectomy versus estrogen therapy in advanced prostatic cancer--a randomized study: results after 7 to 10 years of followup. Of 163 new consecutively diagnosed cases of advanced (T3-4 M0 or T04M1) prostatic cancer 13 had contraindications f...,1
general,300,cardiovascular diseases,3 day,DATE,"Mechanical circulatory support as a bridge to transplantation: current status of total artificial heart in 1989 and determinants of survival. Since April 1986, 40 total artificial hearts (TAH) were implanted as a bridge to transplantation in our inst...",1
general,274,cardiovascular diseases,seven,CARDINAL,High-risk reparative surgery. A neglected alternative to heart transplantation. The selection of patients for either high-risk reparative operations on the heart or for transplantation has become increasingly difficult as a result of improved results...,1
general,1795,nervous system diseases,0.005,CARDINAL,"The blink reflex in cluster headache. To investigate the involvement of the trigeminal system in cluster headache, in twelve subjects the electrically-elicited blink reflex during a symptomatic period was examined. In eleven cases, the amplitude of t...",1
general,1817,nervous system diseases,less than 50%,PERCENT,The role of carotid screening before coronary artery bypass. Five hundred thirty-nine patients with no symptoms of cerebral ischemia undergoing coronary artery bypass were preoperatively evaluated for presence of carotid stenosis by noninvasive metho...,1
general,649,general pathological conditions,6 week,DATE,"Double-blind randomized trial of perioperative fibrinolytic enhancement for femoropopliteal bypass. Patients with rest pain or acute peripheral arterial thrombosis are known to have impaired endogenous fibrinolysis, which is associated with an increa...",1
general,392,cardiovascular diseases,0.52,CARDINAL,Heart rate adjustment of exercise-induced ST segment depression. Improved risk stratification in the Framingham Offspring Study BACKGROUND. Simple heart rate adjustment of ST segment depression during exercise (delta ST/HR index) and the pattern of S...,1
general,285,cardiovascular diseases,0.23,CARDINAL,"Increased arterial adrenaline is related to pain in uncomplicated myocardial infarction. Plasma levels of catecholamines, beta-thromboglobulin (BTG) and arginine vasopressin (AVP), and degree of pain were examined in 22 patients with suspected uncomp...",1
