approach,doc_id,condition,entity_text,entity_label,context_snippet,is_correct
BioNLP,1368,neoplasms,upper urinary tract,ORGANISM_SUBDIVISION,"Multifocal, synchronous inverted papillomas involving the ureter. Inverted papillomas involving the upper urinary tract remain a rarely diagnosed phenomenon. A case of bilateral ureteral inverted papillomas is presented. The treatment and diagnosis o...",1
BioNLP,435,digestive system diseases,ventilation/perfusion,SIMPLE_CHEMICAL,Normalization of ventilation/perfusion relationships after liver transplantation in patients with decompensated cirrhosis: evidence for a hepatopulmonary syndrome. To examine the effect of liver transplantation on the respiratory and cardiovascular f...,0
BioNLP,723,general pathological conditions,melanoma,CANCER,"Narrow excision (1-cm margin). A safe procedure for thin cutaneous melanoma. We analyzed the results at 8 years of an international, randomized, prospective study carried out by the World Health Organization Melanoma Programme aimed at evaluating the...",1
BioNLP,1414,neoplasms,patient,ORGANISM,"Central nervous system haemangioblastoma: a clinical and genetic study of 52 cases. Fifty two cases of haemangioblastoma were reviewed for their clinical, genetic and prognostic features. Of 34 patients with apparently isolated cerebellar lesions, po...",1
BioNLP,1437,neoplasms,anti-cea antibody,GENE_OR_GENE_PRODUCT,"Imaging of pharyngeal and laryngeal carcinomas with indium-111-labeled monoclonal anti-CEA antibodies. Localization of primary tumors, metastases, or recurrences in 13 consecutive patients with histological verification of squamous cell or adenocarci...",1
BioNLP,1597,neoplasms,adenoma patient,CANCER,"The potential and limitations of laser photoablation of colorectal adenomas. Ablation of colorectal adenomas by Nd:YAG laser energy was investigated in 271 patients. Two hundred and forty-one patients, selected because of poor surgical and medical co...",0
BioNLP,1529,neoplasms,benign tumor,CANCER,"Giant cell tumor of bone. Giant cell tumor is the second most common benign tumor of bone. Plain radiographs may demonstrate distinctive features but can also be misleading. The diagnosis may be aided by the use of other imaging modalities, such as b...",0
BioNLP,1246,general pathological conditions,cerebral blood flow,PATHOLOGICAL_FORMATION,"Effects of repeated temporary clipping of the middle cerebral artery on pial arterial diameter, regional cerebral blood flow, and brain structure in cats. Temporary clipping of the major arterial trunk is an important maneuver to control excessive un...",0
BioNLP,1055,general pathological conditions,urine,SIMPLE_CHEMICAL,Transient renal acidification defect during acute infantile diarrhea: the role of urinary sodium. We studied urinary acidification daily during the hospital course of 16 infants with acute gastroenteritis and metabolic acidosis. Urine pH value on adm...,0
BioNLP,18,cardiovascular diseases,mucosal,TISSUE,"The effects of tumor necrosis factor on intestinal structure and metabolism. Tumor necrosis factor (TNF), a polypeptide produced predominantly by activated macrophages, is an important mediator of sepsis. We analyzed the specific metabolic changes th...",0
BioNLP,602,digestive system diseases,serum,ORGANISM_SUBSTANCE,"Incidence, determinants and significance of delayed clearance of serum HBsAg in chronic hepatitis B virus infection: a prospective study. To investigate the incidence, determinants and significance of delayed clearance of serum HBsAg in chronic hepat...",1
BioNLP,943,general pathological conditions,latent natural killer,GENE_OR_GENE_PRODUCT,Interferon activation of latent natural killer cells and alteration in kinetics of target cell lysis: clinical implications for oral precancerous lesions. Reduced natural killer cell activity was observed in patients with oral leukoplakia and submuco...,0
BioNLP,1443,neoplasms,patient,ORGANISM,"Is there a place for conservative surgery in the treatment of renal carcinoma? Since 1981, 31 patients have undergone conservative surgery for malignant renal tumours and have been followed up for at least 2 years. The techniques included enucleation...",1
BioNLP,657,general pathological conditions,posterior,TISSUE,"Incisional parapubic hernias. A parapubic hernia, distinct from other lower abdominal wall hernias, is identified as a particular type of incisional hernia. This hernia results from the disruption of the musculotendinous elements of the abdominal wal...",0
BioNLP,1932,nervous system diseases,neurogenic-motor,GENE_OR_GENE_PRODUCT,"Relationship between duration of spinal cord ischemia and postoperative neurologic deficits in animals. Twenty hogs were administered the following procedures before, during, and after overdistraction of the spinal column at T5-T6: somatosensory (SEP...",0
BioNLP,444,digestive system diseases,neuromuscular,TISSUE,Pharmacokinetics and pharmacodynamics of doxacurium in normal patients and in those with hepatic or renal failure. We determined the pharmacokinetics and duration of action of a bolus dose of doxacurium (15 micrograms/kg) in 27 patients anesthetized ...,0
BioNLP,848,general pathological conditions,collagenase,GENE_OR_GENE_PRODUCT,Cells derived from omental fat tissue and used for seeding vascular prostheses are not endothelial in origin. A study on the origin of epitheloid cells derived from omentum. The use of microvascular endothelial cells derived from omental tissue has b...,1
BioNLP,604,digestive system diseases,body cell,CELL,Cytomegalovirus colitis and wasting. Disseminated cytomegalovirus (CMV) infection is associated with significant and progressive depletion of body cell mass and body fat in patients with the acquired immune deficiency syndrome (AIDS). In a study exam...,1
BioNLP,1403,neoplasms,nuclei,CELLULAR_COMPONENT,"Is DNA ploidy of prognostic significance in stage I cutaneous melanoma? Recent studies have suggested that the presence of DNA aneuploidy in stage I cutaneous melanoma carries a poor prognosis. To see if our experience correlated with these reports, ...",1
BioNLP,194,cardiovascular diseases,arterial emboli,PATHOLOGICAL_FORMATION,"Echocardiographic evaluation of patients with clinically suspected arterial emboli. 153 patients (mean age 42 years, range 16-60) who had arterial embolic events were examined prospectively by transthoracic and transoesophageal echocardiography. Pati...",1
BioNLP,1024,general pathological conditions,aortic valve,PATHOLOGICAL_FORMATION,Treatment of complicated prosthetic aortic valve endocarditis with annular abscess formation by homograft aortic root replacement. The outcome of 30 consecutive patients with active aortic prosthetic valve endocarditis and root abscesses treated by t...,0
BioNLP,408,cardiovascular diseases,rats,ORGANISM,Effects of alpha 1-blockade on arterial compliance in normotensive and hypertensive rats. The effects of blockade of alpha 1-adrenergic receptors on the mechanical properties of the arterial wall were studied in 10 spontaneously hypertensive rats (SH...,1
BioNLP,529,digestive system diseases,ulcer,CANCER,Cross-national changes in the effects of peptic ulcer disease. OBJECTIVE: To describe and to analyze the changing effects of peptic ulcer disease over time. DESIGN: Variables relating to peptic ulcer disease from 1970-1986 were compared. The variable...,0
BioNLP,1587,neoplasms,colon,ORGAN,"Colonic stenoses: use of oral barium when retrograde flow is completely obstructed on barium enema studies. Forty patients with complete obstruction to retrograde barium flow on barium enema examinations, without clinical or radiographic evidence of ...",1
BioNLP,1198,general pathological conditions,monastral,SIMPLE_CHEMICAL,Mycoplasma pulmonis infections cause long-lasting potentiation of neurogenic inflammation in the respiratory tract of the rat. These experiments were done to learn whether Mycoplasma pulmonis infections of the respiratory tract of rats can potentiate...,1
BioNLP,128,cardiovascular diseases,heart,ORGAN,Comparison of labetalol versus enalapril as monotherapy in elderly patients with hypertension: results of 24-hour ambulatory blood pressure monitoring. PURPOSE: This study compared the safety and efficacy of labetalol and enalapril as antihypertensiv...,1
BioNLP,1742,nervous system diseases,nostril ipsilateral,PATHOLOGICAL_FORMATION,"Human olfactory discrimination after unilateral frontal or temporal lobectomy. Olfactory discrimination and detection was studied in 106 patients with unilateral cerebral excision in the right or left temporal lobe, right or left frontal lobe, left p...",0
BioNLP,417,cardiovascular diseases,cardiac,ORGAN,Repetitive intraoperative mapping and cryotherapy improve the results of endocardial resection for ventricular tachycardia. Patients with recurrent ventricular tachycardia or a history of a sudden cardiac death episode and ventricular tachycardia ind...,0
BioNLP,316,cardiovascular diseases,myocardial,MULTI_TISSUE_STRUCTURE,"Bolus, front-loaded, and accelerated thrombolytic infusions for myocardial infarction and pulmonary embolism. Thrombolytic therapy decreases mortality in patients with acute myocardial infarction and is now widely used in such patients. The choice of...",0
BioNLP,1281,general pathological conditions,t lymphocyte,CELL,A new monoclonal antibody (CH-F42) recognizes a CD7- subset of normal T lymphocytes and circulating malignant cells in adult T-cell lymphoma-leukemia and Sezary syndrome. We describe a new rat immunoglobulin M monoclonal antibody (CH-F42) that recogn...,1
BioNLP,1422,neoplasms,limb muscle,TISSUE,"Muscle fibre type and habitual snoring. Although anatomical abnormalities of the upper airway have been recorded in some patients with obstructive sleep apnoea (OSA), a muscle tone dysregulation also seems to have an important role in this disorder. ...",1
BioNLP,1613,neoplasms,patient,ORGANISM,"Which clinical variables predict an abnormal double-contrast barium enema result? OBJECTIVE: To determine the relations among patient history, symptoms, objective indicators, and abnormal double-contrast barium enema results in outpatients. PATIENTS ...",1
BioNLP,1066,general pathological conditions,epa,SIMPLE_CHEMICAL,Effects of altering the eicosanoid precursor pool on neovascularization and inflammation in the alkali-burned rabbit cornea. The effects of altering the eicosanoid precursor pool on several aspects of the nonimmunologically mediated inflammatory and ...,1
BioNLP,1309,neoplasms,human immunodeficiency virus,ORGANISM,"Urological manifestations of HIV-related disease. A case of AIDS-associated testicular seminoma, Kaposi's sarcoma and possible intracranial lymphoma. A wide variety of pathologies afflicting the genitourinary tract can be displayed by patients infect...",1
BioNLP,889,general pathological conditions,patient,ORGANISM,Flow cytometric DNA analysis of parathyroid tumors. Implication of aneuploidy for pathologic and biologic classification. The previous cytometric studies on parathyroid tumors have provided conflicting data regarding the relationship between DNA cont...,1
BioNLP,1508,neoplasms,thyrocyte,CELL,"Expression of class I and II human leukocyte antigens by thyrocytes and lymphocytic infiltration on human thyroid tumors. An immunofluorescence study. Surgical thyroid sections from 30 papillary carcinomas (PC), six medullary carcinomas (MC), three a...",1
