approach,doc_id,condition,entity_text,entity_label,context_snippet,is_correct
Transformer,1998,nervous system diseases,two,Lab_value,Epirubicin at two dose levels with prednisolone as treatment for advanced breast cancer: the results of a randomized trial. Two hundred eleven patients with advanced breast cancer were randomized to receive either epirubicin (E) 50 mg/m2 and predniso...,1
Transformer,1842,nervous system diseases,lumbar,Biological_structure,Problems and solutions of pedicle screw plate fixation of lumbar spine. Fifty-seven patients with low back pain and sciatica of various causes were reviewed with reference to problems associated with pedicle plate fixation of the lumbar spine. Eleven...,1
Transformer,1086,general pathological conditions,inferior vena cava,Biological_structure,Unusual aspects of aortovenous fistulas associated with ruptured abdominal aortic aneurysms. Three unusual cases of an abdominal aortic aneurysm spontaneously rupturing into the retroperitoneum and an adherent posterior vein are reported. No patient ...,1
Transformer,1058,general pathological conditions,right,Detailed_description,Bronchobiliary fistula detected by cholescintigraphy. We present a case of a bronchobiliary fistula initially detected by hepatobiliary scintigraphy. The patient developed bilioptysis 18 mo after undergoing a right hepatic lobectomy and resection of ...,1
Transformer,1198,general pathological conditions,neurogenic,Detailed_description,Mycoplasma pulmonis infections cause long-lasting potentiation of neurogenic inflammation in the respiratory tract of the rat. These experiments were done to learn whether Mycoplasma pulmonis infections of the respiratory tract of rats can potentiate...,1
Transformer,762,general pathological conditions,heart rate,Diagnostic_procedure,"Lung function and pulmonary regurgitation limit exercise capacity in postoperative tetralogy of Fallot. Fifty-five patients with repair of tetralogy of Fallot were evaluated with treadmill exercise, pulmonary function testing and rest two-dimensional...",0
Transformer,1979,nervous system diseases,contrast,Diagnostic_procedure,"Diagnostic quality and complications of hysterosalpingography: oil- versus water-soluble contrast media--a randomized prospective study. In a prospective randomized study of 417 patients, side effects and complications of contrast media and the diagn...",0
Transformer,873,general pathological conditions,ischemic,Disease_disorder,Posthypoxic glucose supplement reduces hypoxic-ischemic brain damage in the neonatal rat. We evaluated the effect of posthypoxic glucose supplement in a neonatal hypoxic-ischemic animal model. Seven-day-old rats underwent bilateral ligation of the ca...,0
Transformer,285,cardiovascular diseases,uncomplicated,Lab_value,"Increased arterial adrenaline is related to pain in uncomplicated myocardial infarction. Plasma levels of catecholamines, beta-thromboglobulin (BTG) and arginine vasopressin (AVP), and degree of pain were examined in 22 patients with suspected uncomp...",0
Transformer,1334,neoplasms,naive phenotype,Sign_symptom,T-cell subsets with a naive phenotype are selectively decreased in the peripheral blood of patients with mycosis fungoides. Peripheral blood lymphocytes of 33 patients with histopathologic confirmation of mycosis fungoides and 27 healthy controls mat...,0
Transformer,812,general pathological conditions,shortening,Sign_symptom,"Amputation or limb-lengthening for partial or total absence of the fibula. Thirty-two patients who had ablation of the foot by the Syme or Boyd technique for partial or total absence of the fibula, with subsequent fitting of a prosthesis, were compar...",1
Transformer,1558,neoplasms,cell,Sign_symptom,Immunophenotyping in the management of gastric lymphoma. Primary gastric lymphoma is a rare tumor in which surgical resection plays a major role in improving the response rate and reducing the incidence of bleeding and perforation after chemotherapy....,0
Transformer,443,digestive system diseases,antibody,Diagnostic_procedure,"Vaccination against hepatitis B and protection against chronic viral carriage in The Gambia. 358 children in the Gambian villages of Keneba and Manduar, where hepatitis B virus (HBV) infection is endemic, were vaccinated with plasma-derived vaccine a...",0
Transformer,1311,neoplasms,migration,Detailed_description,Migration stimulating activity in serum of breast cancer patients. An assay to measure the ability to stimulate migration of fibroblasts into collagen gel was carried out on serum from treated and untreated breast cancer patients and from healthy con...,0
Transformer,1091,general pathological conditions,foreign,Detailed_description,"Postoperative pancreatic abscess due to Plesiomonas shigelloides. Plesiomonas shigelloides is being recognized with increasing frequency as a human pathogen. The organism is ubiquitous in fresh and brackish water, and clinical illness has been associ...",1
Transformer,62,cardiovascular diseases,2 - month,Duration,Synergistic effects of psyllium in the dietary treatment of hypercholesterolemia. We investigated psyllium fiber supplementation as a means of enhancing the cholesterol-lowering effect of the phase I American Heart Association diet. Fifty-nine subjec...,1
Transformer,154,cardiovascular diseases,heart rate,Diagnostic_procedure,"Ultra short-acting intravenous beta-adrenergic blockade as add-on therapy in acute unstable angina. To assess the efficacy and safety of the ultra short-acting beta-blocking agent, esmolol, in acute unstable angina, we administered esmolol to 21 pati...",0
Transformer,1033,general pathological conditions,cystinosis,Sign_symptom,Photic sneeze reflex in nephropathic cystinosis Photic induced sneeze is a reflex that occurs in certain individuals after exposure to bright light. Cystinosis is an autosomal recessive inborn error of metabolism in which nonprotein cystine accumulat...,0
Transformer,1380,neoplasms,capsule,Coreference,"Mechanism of fibrous capsule formation surrounding hepatocellular carcinoma. Immunohistochemical study. In 14 cases of hepatocellular carcinoma with capsule, we studied the mechanism of capsule formation by the immunoperoxidase technique using antibo...",0
